corpus,category
"On Census Citizenship Question, Supreme Court’s Conservatives Appear United. A naturalization ceremony last summer at the John F. Kennedy Presidential Library in Boston.Adding the question, government experts said, could depress participation in the census and affect how congressional seats are allocated.",Politics
Stephen Moore’s Columns Deriding Women Raise New Questions for Trump Fed Pick. Stephen Moore of The Heritage Foundation is a likely nominee by President Trump for the Federal Reserve Board.Mr. Moore’s past columns and appearances contain potential roadblocks to confirmation — including a history of writing about women in unflattering terms.,Politics
Pelosi Urges Caution on Impeachment as Some Democrats Push to Begin. Speaker Nancy Pelosi said in a letter to colleagues that it was clear Mr. Trump had “engaged in highly unethical and unscrupulous behavior which does not bring honor to the office he holds.”A letter and a conference call by Speaker Nancy Pelosi appeared intended to shore up support for the investigations already begun rather than impeachment proceedings.,Politics
"As McGahn Emerges as Chief Witness in the Mueller Report, Trump and Allies Ramp Up Attacks. President Trump’s personal lawyers are attacking the credibility of Donald F. McGahn II, the former White House counsel and a chief witness in the Russia investigation, in an effort to undermine the special counsel’s report.The president’s lawyers have attacked the former White House counsel since Robert Mueller released his report on whether the president obstructed justice.",Politics
"Trump Will Not Release Tax Returns to Congress, Spokesman Says. President Trump will not comply with a Tuesday deadline set by House Democrats to release his tax returns to Congress, according to the White House.A spokesman for the president signaled a deadline set by House Democrats to release six years’ worth of returns would not be met.",Politics
"M.J. Hegar, Veteran Armed With Viral Ads, Is Running for Senate in Texas. M.J. Hegar, left, at a campaign event in Georgetown, Texas, in September.A former Air Force helicopter pilot who narrowly lost a bid for the House in November will challenge Senator John Cornyn, a Republican, in 2020.",Politics
"The Big Money Challenge Awaiting Joe Biden in the 2020 Race. Joseph R. Biden Jr. does not have an at-the-ready list of grass-roots contributors to ply for small donations.Mr. Biden, ahead in the polls but behind financially, is seeking out top money bundlers, but that risks a backlash among grass-roots Democrats.",Politics
"Trump’s State Visit to Britain, Long Delayed, Now Has a Date. Queen Elizabeth II greeted President Trump at Windsor Castle, England, in July.Queen Elizabeth II formally invited the American leader to a three-day visit in June, when events for the 75th anniversary of D-Day will be held.",Politics
"Political Memo: Joe Biden Looms, but Bernie Sanders Is Running His Own Race. Senator Bernie Sanders of Vermont spoke at a rally in Pittsburgh last week. He is running his own race, even as former Vice President Joseph Biden looms as a rival.The Vermont senator has been the front-runner in early campaigning, but Mr. Biden’s expected entry could change that. Mr. Sanders is not likely to care.",Politics
Democrats Court a New Voting Bloc: People Who Don’t Own Homes. Elizabeth Warren campaigning in Las Vegas. She has said the housing crisis won’t be solved by “nibbling at the edges.”Renters have finally gotten Washington’s attention. Can anyone running for president help them?,Politics
On Politics: Pelosi Cautions on Impeachment. Speaker Nancy Pelosi said to colleagues that it was clear President Trump had engaged in behavior “which does not bring honor to the office he holds.”,Politics
"Kamala Harris Proposes Executive Orders on Gun Control. Senator Kamala Harris of California speaking in Atlanta last month. On Monday she named several actions on gun control that she would take if elected president.Ms. Harris pledged to implement measures that have long failed to pass in Congress, including mandatory background checks and regulations on manufacturers.",Politics
"Highlights From 5 Candidates at CNN Town Halls. From left, Amy Klobuchar, Bernie Sanders, Kamala Harris, Pete Buttigieg and Elizabeth Warren participated in a set of town halls hosted by CNN on Monday night.Bernie Sanders backed voting rights for people now in jail, including the Boston Marathon bomber, while Pete Buttigieg disagreed and Kamala Harris said, “I think we should have that conversation.”",Politics
"At a White House Tradition, Politics Color Everything but the Easter Eggs. President Trump and Melania Trump, the first lady, led several rounds of the annual White House Egg Roll.The Easter Egg Roll bore the hallmarks of holidays under President Trump, including not just the usual festivities but also exchanges about decapitation, impeachment and the wall.",Politics
"Trump Speaks About Sri Lanka and Impeachment at Easter Egg Roll. President Trump spoke to reporters about the Sri Lanka attacks and the possibility of impeachment, while hundreds of children celebrated the holiday at the White House Easter Egg Roll.",Politics
On Politics With Lisa Lerer: Who’s the Jeb of the 2020 Race?. In the On Politics newsletter: Democrats hoping to avoid Jeb Bush’s 2016 fate are finding themselves in familiar political minefields.,Politics
"Democrats Seek Young Voters, and the Memes That Move Them. A young supporter of Senator Bernie Sanders at a rally in Warren, Mich., this month.Democratic 2020 hopefuls have taken note of the potential power of millennial and Generation Z voters. But effectively reaching them is the hard part.",Politics
"Social Security and Medicare Funds Face Insolvency, Report Finds. Medicare’s hospital insurance fund is expected to be depleted in 2026 — the same date that was projected a year ago.The social safety net programs are fraying as baby boomers age, the trustees of Social Security and Medicare said, but a political fix seems far away.",Politics
"Global Wealth Gap Would Be Smaller Today Without Climate Change, Study Finds. A market in Abuja, the Nigerian capital. Africa’s  most populous country, Nigeria would have been 29 percent richer without climate change, a new study has estimated.Most of the world’s poor countries are poorer than they would have been had greenhouse gas emissions not altered the climate. In some rich countries, it's the opposite.",Politics
"Joe Biden Plans to Close Foundation When He Enters 2020 Race. Former Vice President Joseph R. Biden Jr. and his wife Jill formed the Biden Foundation, a nonprofit group, after he left office.Seeking to avoid conflict-of-interest concerns, the former vice president plans to shutter the Biden Foundation after joining the presidential campaign.",Politics
"Julia Angwin Is Out as Editor of New Tech Watchdog Site The Markup. Julia Angwin, center, said she was being forced out by Sue Gardner, left, one of her co-founders. Jeff Larson, right, will replace Ms. Angwin as the site’s editor in chief.Ms. Angwin was one of three founders of The Markup, which is dedicated to investigating technology and its effects on society and plans to start publishing in July.",Business
"This Estonian Start-Up Has Become a Thorn in Uber’s Side. Based in Estonia, Bolt has become Uber’s most formidable challenger in Europe and Africa.The Estonian ride-hailing company Bolt is an unexpected success story. The start-up points to Uber’s global challenges.",Business
"After the Bust, Are Bitcoins More Like Tulip Mania or the Internet?. To understand where cryptocurrencies are going, it helps to look beneath the price gyrations to see how people are actually using the technology. The data provides reason for both hope and concern.",Business
"As Herman Cain Bows Out of Fed Contention, Focus Shifts to Stephen Moore. Stephen Moore, one of President Trump’s outside economic advisers, is being considered for a nomination to the Federal Reserve Board.Mr. Cain withdrew in the face of allegations of sexual harassment, even as Mr. Moore, the president’s other embattled pick, faced allegations of sexism.",Business
"A Vicious, Untreatable Killer Leaves China Guessing. The Wangaofa Animal Husbandry Development Company had to cull thousands of pigs this year after an outbreak of African swine fever. The facility now sits empty, its hallways splattered white with disinfecting lime.African swine fever, which harms pigs but not humans, has swept across the country, the world’s largest pork producer. And the government knows about only some of the cases.",Business
"Elon Musk Predicts Tesla Driverless Taxi Fleet Next Year. A Tesla delivery site in Norway. Tesla’s chief executive, Elon Musk, says the company is on the verge of making cars that can drive themselves safely on any road.Mr. Musk said Tesla cars would soon drive themselves and serve as robot taxis. But many experts think autonomous cars are at least several years away.",Business
Google Employees Say They Faced Retaliation After Organizing Walkout. A Google employee protest in November in San Francisco. Two workers who called for a walkout over Google’s treatment of sexual harassment said they had been demoted or told that their role would change.Two Google workers who called for an employee protest over the company’s treatment of sexual harassment said they were demoted or told their role would change.,Business
"Beyond Meat Details Plans for Initial Public Offering. Beyond Meat’s signature product, the burger patty, is made with pea protein and beet juice, which are supposed to give the burger the bloody look, texture and taste of beef.The company is hoping the success of its plant-based burger will lure investors to an I.P.O. that would value it at $1.2 billion.",Business
S&P 500 Flirts With Record High on Upbeat Earnings. The S&P 500 was within striking distance of its all-time high on Tuesday as better-than-expected results from Twitter and a host of industrial companies eased concerns about slowing corporate profits.,Business
"Japan Has a New Emperor. Now It Needs a Software Update.. A worker preparing a stamp at a factory in Chiba Prefecture.It isn’t exactly Y2K, but the country is scrambling to reconcile its systems with the ancient demands of an imperial calendar.",Business
Stephen Moore’s Columns Deriding Women Raise New Questions for Trump Fed Pick. Stephen Moore of The Heritage Foundation is a likely nominee by President Trump for the Federal Reserve Board.Mr. Moore’s past columns and appearances contain potential roadblocks to confirmation — including a history of writing about women in unflattering terms.,Business
"Gary Stewart, Master of the Reissue Compilation, Dies at 62. Mr. Stewart at his home in Santa Monica, Calif., in 1984. The president of Rhino Records called Mr. Stewart the company’s “architect and guiding spirit” and said that he “defined what it meant to be a catalog label.”Mr. Stewart’s knowledge of, and enthusiasm for, a range of musical genres helped make Rhino Records the gold standard for anthologies.",Business
in her words: Pretty Hurts (Women’s Careers). A new study finds that attractive businesswomen are considered less trustworthy and less truthful — what researchers called the “femme fatale effect.”,Business
"Square Feet: When Office Buildings Go Beyond Green. John Heagy III, a senior managing director for Hines, the developer of T3 West Midtown, an office building in Atlanta that was certified by WiredScore for its digital infrastructure.The crowded field of third-party certifications has left some wondering which are necessary and which are just marketing gimmicks.",Business
"DealBook Briefing: Herman Cain Says the Fed Can’t Afford Him. Herman CainThe business man no longer wants to join the Fed’s board, citing a pay cut that would make others tell their boss “where to go.”",Business
"United Airlines Employee Charged With Using Racial Slurs Toward Customer. After a United Airlines employee was charged with disorderly conduct for allegedly using racial slurs, the company said it had “zero tolerance for discrimination of any kind.”After originally being given a citation, the employee has since been charged in Texas with a misdemeanor.",Business
"Stop & Shop Strike Ends With Union Claiming Victory on Pay and Health Care. The union representing Stop & Shop workers said in a statement that the tentative deal reached on Sunday “preserves health care and retirement benefits, provides wage increases, and maintains time-and-a-half pay on Sunday for current members.”More than 30,000 cashiers, bakers and other supermarket workers had been on strike for 11 days across three states in New England.",Business
"More Benches, Special Goggles: Taking Steps to Assist Older Travelers. Samantha Flores, the director for experiential design for the architecture firm Corgan, wearing an age-simulation suit at Phoenix Sky Harbor International Airport.The number of people 60 and over is growing. So airports and hotels are beginning to look at design changes to help them.",Business
"Kraft Heinz Picks New C.E.O. as It Faces Weak Sales and S.E.C. Inquiry. Miguel Patricio will take the helm at Kraft Heinz after spending two decades at Anheuser-Busch, most recently as the brewer’s global chief marketing officer.The food giant said Miguel Patricio, an Anheuser-Busch InBev veteran, would succeed Bernardo Hees as chief executive, signaling a potential shift away from years of cost-cutting.",Business
"U.S. Moves to Stop All Nations From Buying Iranian Oil, but China Is Defiant. Secretary of State Mike Pompeo said the United States would no longer grant oil waivers to China and India, Iran’s two largest customers.Oil prices rose to their highest levels since October in anticipation of Monday’s announcement by Secretary of State Mike Pompeo. Trump administration officials had debated the move.",Business
"Tesla to Investigate Car That Appeared to Burst Into Flames in Shanghai. In January Tesla started construction on a huge new factory near Shanghai, its first plant outside the United States.The fire, involving a Tesla sedan in a parking garage, left no one injured, the fire department said. The automaker said it had dispatched a team “at once.”",Business
"DealBook Briefing: Tesla Wants You to Focus on Its Robo-Taxis (not Its Finances). Elon MuskThe electric-car maker plans to show off its latest self-driving vehicle technology, two days before it is expected to announce another quarterly loss.",Business
White Collar Watch: Elizabeth Warren Wants to Make It Easier to Prosecute Executives. Senator Elizabeth Warren of Massachusetts at a campaign stop in New Hampshire last month.The key question is whether the legislation she has proposed is the best means to police corporate leaders.,Business
"Like a Boss: Jonny Sun’s Work Diary: Correct Spellign Optoinal, Creativity Mandatory. The author-illustrator behind ‘everyone’s a aliebn when ur a aliebn too’ is writing for TV and film, plus pursuing a Ph.D. at M.I.T.",Business
"Japanese Prosecutors Bring New Charge Against Carlos Ghosn. Carlos Ghosn, the former Nissan chairman, leaving his lawyer’s office in Tokyo on April 3. He was arrested the next day, his fourth arrest so far.Mr. Ghosn, the former head of the Nissan-Renault auto alliance, was formally charged with breach of trust, adding a new count of financial impropriety onto his existing three charges.",Business
"The Giants at the Heart of the Opioid Crisis. The headquarters of McKesson Corporation, the drug distributing giant, in San Francisco.Civil suits filed by three states accuse pharmaceutical distributors of flooding the country with opioids while devising systems to evade regulators.",Business
"Zoom Video’s Stock Soared in Public Debut. So Did Zoom Technologies’.. The opening of trading in Zoom Video Communications last Thursday. Its shares soared more than 72 percent that day.Twitter, Tweeter. Nest, Nestor. Sometimes, shares in similarly named companies get caught up in the excitement of a deal or I.P.O.",Business
"Hospitals Stand to Lose Billions Under ‘Medicare for All’. Proponents held up signs as Senator Bernie Sanders introduced the Medicare for All bill in Washington this month.Private insurance pays hospitals much more than the federal government does for patient care. If Medicare for all means Medicare rates, expect an industry backlash.",Business
"Trump’s Washing Machine Tariffs Stung Consumers While Lifting Corporate Profits. Companies raised both washer and dryer prices last year, by 11.5 percent each, a new study says. Only washers were subject to President Trump's tariffs.New research shows how a move meant to aid domestic manufacturers instead padded profits and raised prices on a wide variety of laundry items.",Business
"Silicon Valley Came to Kansas Schools. That Started a Rebellion.. A yard sign in Wellington, Kan., where some parents and students have rebelled against a web-based education program from Summit Learning.Public schools in Kansas rolled out a web-based learning platform backed by Facebook’s Mark Zuckerberg. Now students have staged walkouts and sit-ins. Their parents have organized.",Business
"With Interest: The Week in Business: Pinterest Provides I.P.O. Inspiration and Tesla Shows Off Self-Driving Cars. Plus, The National Enquirer has a new owner and the country’s economy gets a checkup.",Business
"Claims of Shoddy Production Draw Scrutiny to a Second Boeing Jet. New 787 Dreamliners at the Boeing plant in North Charleston, S.C. When unveiled in 2007, the Dreamliner was Boeing’s most important new plane in a generation and an immediate hit with carriers.Workers at a 787 Dreamliner plant in South Carolina have complained of defective manufacturing, debris left on planes and pressure to not report violations.",Business
"He Stopped a Global Cyberattack. Now He’s Pleading Guilty to Writing Malware.. Marcus Hutchins, right, a British security researcher, at the Federal Courthouse in Milwaukee, Wisconsin, in 2017. He was arrested at the airport in Las Vegas earlier that year.Marcus Hutchins, a British security researcher credited with halting a huge outbreak of ransom software in 2017, accepted United States charges over previous activity.",Business
"India Elections 2019: Farmers Are Hurting and Millions Are Voting. An onion market in Lasalgaon, near Nashik, India.The ruling B.J.P. party has not yet delivered the “good days” it promised to farm voters, who make up half of the electorate. In debt and despair, some wonder if anyone can.",Business
"How Luxury Developers Use a Loophole to Build Soaring Towers for the Ultrarich in N.Y.. About one-fourth of the 88 floors at 432 Park Avenue, one of the world’s tallest residential buildings, have no homes. Instead, they are reserved for structural and mechanical equipment.The spread of these buildings overlooking Central Park is provoking a backlash amid a broader debate about affordable housing, extravagant projects and the city’s identity.",Business
"Tesla to Shrink Board of Directors by Four People. The move, which will reduce the number of directors to seven, is meant to improve corporate governance of the electric car company.",Business
Ancestry.com Apologizes for Ad Showing Slavery-Era Interracial Couple. The genealogy company said it had pulled a video ad that depicted an interracial couple fleeing the antebellum South.,Business
"Wealth Matters: 4 Tax Strategies That Could Make a Divorce Settlement Easier. Alvina Lo, chief wealth strategist at Wilmington Trust, said the overhaul of the tax code meant couples going through a divorce should re-examine their tax strategy. “It’s not only one thing that changed in tax reform,” she said. “You really need to factor in everything.”Divorce negotiations are never easy, and they became more complicated this year, thanks to the tax overhaul. Here are four tips for taxpayers to consider.",Business
"Before Fisher-Price’s Rock ’n Play Recall, Safety Fears and Dubious Marketing. Fisher-Price issued a recall for its Rock ’n Play sleeper this month after it was linked to multiple infant deaths.The company knew for years about potential risks linked to its popular sleeper and about pediatricians’ objections to the way the product was being pitched to parents.",Business
"Betting on the Royal Baby. Commemorative items available for purchase by fans of the baby expected by Prince Harry and his wife, Meghan Markle, include mugs; a teabag coaster, center; and a tin of baby biscuits.In Britain’s celebrity pregnancy economy, Meghan Markle’s unborn child is inspiring wagers, luxury cookie tins and diamond-encrusted jars of diaper rash cream.",Business
"Strategies: ‘Medicare for All’ Is Hammering Health Care Stocks. For Now.. Senator Bernie Sanders at a Fox News Town Hall on April 15. Mr. Sanders has been a prominent supporter of a “Medicare for All” health insurance program.The popularity of proposals for a government-run, single-payer system among Democratic presidential candidates has hurt health care stocks, despite their strong earnings.",Business
"Half of England Is Owned by Less Than 1% of Its Population, Researcher Says. Farm workers in the fields near Boston, Lincolnshire, England.A new book identifies aristocrats, investors and companies that own vast portions of the country, amid growing complaints about land scarcity and economic inequality.",Business
"Commuting While Pregnant: A Long Ride Could Be a Risky One. Traveling 50 or more miles to and from work may negatively affect unborn babies, a new study suggests.",Business
"Your Money Adviser: Before Deciding on a College, Look Closely at the Financial Aid Letter. Schools are not required to use the same terminology in their offers. And an “award” could mean a grant — or a loan. “Celebrate,” one expert says. “Then, decide.”",Business
"Are You a Very English Butler? The U.K. Government Needs You. Grant Harrold was once a butler to Prince Charles. “The reality of a modern-day butler is that it is evolving into this hospitality role,” he said.The Foreign Office has advertised for two butlers responsible for delivering “V.I.P. hospitality” and managing a wine cellar. Maximum annual salary: £30,000.",Business
"DealBook: Socialist! Capitalist! Economic Systems as Weapons in a War of Words. It wouldn’t be surprising if a proposal in Joseph Stiglitz's new book became the economic platform for a presidential candidate.The economist Joseph Stiglitz discusses Bernie Sanders, social policy and how we define ourselves — and one another.",Business
"Merger Talks of Deutsche Bank and Commerzbank Roil Emotions. A merger of Deutsche Bank and Commerzbank would leave Germany with only one large publicly traded bank, compared with at least four a decade ago.A proposed deal is meeting resistance from labor, regulators and some shareholders. But there is also political momentum in Germany for a tie-up.",Business
Work Friend: The Wages of Being a Woman at Work. Let’s just say they’re a little low.,Business
"This Estonian Start-Up Has Become a Thorn in Uber’s Side. Based in Estonia, Bolt has become Uber’s most formidable challenger in Europe and Africa.The Estonian ride-hailing company Bolt is an unexpected success story. The start-up points to Uber’s global challenges.",Tech
"After the Bust, Are Bitcoins More Like Tulip Mania or the Internet?. To understand where cryptocurrencies are going, it helps to look beneath the price gyrations to see how people are actually using the technology. The data provides reason for both hope and concern.",Tech
Google Employees Say They Faced Retaliation After Organizing Walkout. A Google employee protest in November in San Francisco. Two workers who called for a walkout over Google’s treatment of sexual harassment said they had been demoted or told that their role would change.Two Google workers who called for an employee protest over the company’s treatment of sexual harassment said they were demoted or told their role would change.,Tech
"Samsung Postpones Rollout of Galaxy Fold. D.J. Koh, a senior executive at Samsung, announcing the new Galaxy Fold in February.The company, the world’s largest handset maker, said it would postpone the release of the foldable smartphone after reports that the device was malfunctioning.",Tech
"Japan Has a New Emperor. Now It Needs a Software Update.. A worker preparing a stamp at a factory in Chiba Prefecture.It isn’t exactly Y2K, but the country is scrambling to reconcile its systems with the ancient demands of an imperial calendar.",Tech
"Julia Angwin Is Out as Editor of New Tech Watchdog Site The Markup. Julia Angwin, center, said she was being forced out by Sue Gardner, left, one of her co-founders. Jeff Larson, right, will replace Ms. Angwin as the site’s editor in chief.Ms. Angwin was one of three founders of The Markup, which is dedicated to investigating technology and its effects on society and plans to start publishing in July.",Tech
