corpus,category
"Deadly germs, lost cures: How a Chicago Woman Fell Victim to Candida Auris, a Drug-Resistant Fungus. Stephanie Spoor, center, with her husband, Gregory, left, during a bedside wedding ceremony of her son, Zack, to his new wife, Carley (right), at Northwestern Memorial Hospital in Chicago. Ms. Spoor died just a few days later.The mysterious infection has appeared at hospitals around the world, but few institutions or families have discussed their experience.",Health
"Trilobites: Look What the Cat Dragged In: Parasites. Cats can contract parasites from insects, prey, soil or other animals and can spread them to humans, pets or wildlife.Researchers found that house cats that roam outdoors were more likely to pick up diseases than indoor cats.",Health
"‘Partly Alive’: Scientists Revive Cells in Brains From Dead Pigs. Neurons (green), astrocytes (red), and cell nuclei (blue) in the brains of pigs. On left, brain tissue left untreated for 10 hours after death; right, brain tissue subjected to the experiment.In a study that upends assumptions about brain death, researchers brought some cells back to life — or something like it.",Health
"Stress Tied to Heart Disease, Especially in People Under 50. Someone with a stress disorder was 37 percent more likely to develop cardiovascular disease than those in the general population.",Health
"Generation Grandparent: Anna Quindlen’s ‘Life in the 60s’. A Bubbe and a Nana share the joys of grandparenting: “This is the closest we get to immortality, right?”",Health
"Phys Ed: 10 Years After an Exercise Study, Benefits Persist. The benefits of exercise may last longer than many of us might expect.",Health
"Stanford Clears Professor of Helping With Gene-Edited Babies Experiment. Stephen Quake, a professor of biotechnology at Stanford University.Stephen Quake and two colleagues were found to have followed proper scientific protocol in their interactions with the Chinese researcher who did the work.",Health
"F.D.A. Halts U.S. Sales of Pelvic Mesh, Citing Safety Concerns for Women. Boston Scientific and Coloplast were the last two companies selling the medical devices, which have resulted in nearly $8 billion in settlements.",Health
"Employee Wellness Programs Yield Little Benefit, Study Shows. Researchers followed thousands of BJ’s Wholesale Club employees for a year to monitor the effects of wellness programs. Although many who enrolled in the programs reported exercising more often and eating more healthfully, the study did not find significant medical care savings.A rigorous new study calls into question whether workplace wellness programs can quickly save employers money on health care bills.",Health
"Yankees 4, Angels 3, 14 innings: After Striking Out Four Times in One Inning, the Yankees Win. Gleyber Torres struck out in the 14th, but reached first on a dropped third strike and eventually scored the winning run.Clint Frazier sprained his ankle in the 12th inning, but remained in the 14-inning game.",Sports
"On College Basketball: Who’s on Trial in the College Basketball Scandal? Not the Big Names. Merl Code Jr., right, a former shoe company consultant, and Christian Dawkins, a would-be agent.Two low-level operators will stand trial for bribery this month, but prosecutors have yet to expose “the dark underbelly of college basketball” as promised.",Sports
"For Kenyan Runners, Winning Can Be a Road to Ruin. Scores of runners chase riches every day in Kenya's highlands. Shadrack Biwott, second from right, returned from his base in California to train ahead of the recent Boston Marathon. His brother Duncan Kibet is a former marathon record holder who has struggled to stay financially afloat.Success in a major long-distance race can lift a Kenyan runner out of poverty overnight. It can also bring plenty of pitfalls, as fame and wealth often do.",Sports
"On Pro Basketball: Trail Blazers Push the Thunder to the Brink. Damian Lillard and C.J. McCollum have led Portland to a 3-1 lead over Oklahoma City.Eager to atone for last season’s playoff failure, Portland has come together and found its rhythm and taken a 3-1 lead against Russell Westbrook and Oklahoma City.",Sports
"W.N.B.A. Games to Air on CBS Sports Network in New Deal. The Seattle Storm celebrate after winning the WNBA Finals last year. The league is struggling for exposure entering its 23rd season.The league recently unveiled a new logo and color scheme, and made clear that they reflected heightened ambitions. But growth in its TV audience has so far has been modest.",Sports
"Justin Gimelstob Pleads No Contest in Battery Case. Justin Gimelstob at Wimbledon in July, when he was coaching John Isner.Gimelstob, the tennis commentator, coach and ATP board member, was sentenced to three years’ probation and 60 days of community service after a felony charge was reduced to a misdemeanor.",Sports
"Yankees 7, Royals 6 | 10 innings: Aaron Judge Hits Injured List, but the Depleted Yankees Win Again. Yankees’ Austin Romine, right, is congratulated by teammates after hitting a walk-off single during the tenth inning on Sunday.Judge is the 13th Yankee on the club’s I.L. But the banged-up team got its fifth win in six games with an extra-inning victory over the Royals.",Sports
"On Pro Basketball: The Celtics Sweep the Pacers. Now Comes the Hard Part.. A rebirth of sorts by Gordon Hayward, center, was a key part in the Celtics looking fairly dominant against Indiana.With a strong performance against Indiana, Boston suddenly looks like the team many predicted would roll through the East. Can the Celtics sustain it against the Bucks?",Sports
"Nets’ G.M. Sean Marks Suspended for Entering the Referees’ Locker Room. General Manager Sean Marks is suspended for Game 5 of the first-round series against the Philadelphia 76ers after entering the referees’ locker room after Saturday’s game at Barclays Center.Marks was fined $25,000 and will be suspended without pay for Game 5 of the first-round series with the Philadelphia 76ers.",Sports
"Relevent Sports Sues U.S. Soccer, Escalating Fight Over Sanctioning. The Relevent Sports chairman Charlie Stillitano in 2017. Relevent sued U.S. Soccer over the sanctioning rights for a proposed Ecuadorean league match that the company wants to host in Miami.A proposed league match between Ecuadorean teams in Miami has become a proxy in a fight between Relevent and a U.S. Soccer partner, Soccer United Marketing.",Sports
"Michael Conforto Emerging as Homegrown Leader for Retooled Mets. Michael Conforto greeted the Mets rookie Pete Alonso after a solo home run during a win over the St. Louis Cardinals on Friday.Conforto has long had a majors-level game, but he is learning to be more vocal for a team with heightened expectations.",Sports
N.B.A. Roundup: N.B.A. Playoffs: Warriors and Raptors Roll to 3-1 Leads on Road. Kevin Durant slamming in 2 of his 33 points for the Warriors against the Clippers on Sunday.Kevin Durant had 33 points and Klay Thompson added 32 for Golden State against the Clippers. Kawhi Leonard scored 34 for Toronto versus the Magic.,Sports
"Carl Hagelin Made a Habit of Knocking Off the Capitals. Now He Is One of Them.. Carl Hagelin has been traded across three teams in one season.Hagelin, who has spent time on three teams this season, has been involved in eliminating Washington from the playoffs five times, three as a Ranger, two as a Penguin.",Sports
"‘Hockey in Heaven’. In a remote Himalayan town in northern India, a women’s ice hockey team comes together.",Sports
"On Everest, a Trail of Old and Faulty Oxygen Equipment. Ted Atkins, an engineer and mountaineer, inspecting an oxygen cylinder for testing in Kathmandu last year.Illicitly recycled gear has fueled profits for some expedition companies for years. But after some harrowing failures, Nepal is taking action as Everest climbing season begins.",Sports
"Hurricanes Stay Alive Against the Capitals. Carolina beat Washington, 5-2, on Monday night to force Game 7 in their first-round playoff series.",Sports
"Bucks Sweep Pistons, Advancing to the Second Round for the First Time Since 2001. Detroit set an N.B.A. record with its 14th consecutive playoff loss, a skid that began in 2008.",Sports
"Test on Jacob deGrom’s Elbow Shows No Injury. The Mets’ Jacob deGrom in the dugout in St. Louis on Saturday, a day after the team put him on the injured list.Before the Mets defeated the Phillies on Monday, the team said DeGrom was set to come off the injured list and make his scheduled start on Friday.",Sports
"The Nets’ Joe Tsai Is Fined $35,000 for a Tweet About Officiating. Tsai, a part owner of the team, posted support for General Manager Sean Marks, who was suspended a game without pay and fined $25,000 for entering the referees’ locker room after Saturday’s loss.",Sports
N.H.L. Roundup: N.H.L. Playoffs: Sharks Win in 2nd Overtime to Force Game 7. Tomas Hertl after scoring a short-handed goal in the second overtime that gave the Sharks a victory against the Golden Knights on Sunday night.Tomas Hertl scored a short-handed goal to beat the Golden Knights. The Bruins defeated the Maple Leafs to set up another deciding game.,Sports
"Diary of a Song: Watch Lizzo Make ‘Juice,’ a Pop Anthem as Irresistible as She Is. How a flute-playing, twerking, social-media-dominating rapper and singer built a song that packs all her joy and charm into three danceable minutes.",Arts
"Displaced Artists Open a New Front at the Brooklyn Army Terminal. The skylight-enclosed atrium at the Brooklyn Army Terminal, where 100 artists have rented studio space.For those muscled out of studios across the city, ArtBuilt offers long leases, below-market rents and the mayor’s welcome.",Arts
"Review: Arthur Miller’s ‘All My Sons,’ With All Its Seams Showing. Annette Bening as Kate, the emotional center of Arthur Miller’s “All My Sons,” which is directed by Jack O’Brien.An old-fashioned, overliteral revival of the 1947 play stars Tracy Letts and Annette Bening.",Arts
"A Balanchine Muse and Star Returns to New York City Ballet. Suzanne Farrell, right, the originator of the lead role in Balanchine’s “Diamonds,” shows Sara Mearns a move at a New York City Ballet studio.Suzanne Farrell, who has a central place in Balanchine history, has been away from the company for 26 years. She came back to coach “Diamonds.”",Arts
"How Music Tells the Story in Opera’s Greatest Epic. (Headphones On.). Follow follow follow follow follow “Das Rheingold” road.In his “Ring” cycle, Wagner uses musical themes to create a world of gods, heroes, dwarves and giants.",Arts
"He Focuses the Eclecticism of La MaMa Moves!. The festival’s curator, Nicky Paraiso, talks about the festival’s theme — “Who am I? Who are you? Who are we?” — and his life in performance.",Arts
"‘Game of Thrones’: Jaime and Brienne ... Free to Love at Last?. OrderedDict([('br', [None, None]), ('#text', 'Nikolaj Coster-Waldau and Gwendoline Christie in “Game of Thrones.” “If they had met in happier times, he wouldn’t have spoken to her,” Christie said about their characters, Jaime and Brienne.')])Nikolaj Coster-Waldau and Gwendoline Christie talked about what their characters’ relationship might have been like had they met under different circumstances.",Arts
"Nonfiction: Turkey’s Killing Fields. In “The Thirty-Year Genocide,” the Israeli historians Benny Morris and Dror Ze’evi detail the slaughter of Turkey’s Christian minorities.",Arts
"Nonfiction: Anna Quindlen’s No. 1 Rule for Grandparents: Butt Out. In her new essay collection, “Nanaville,” the novelist and former Times columnist writes about what she’s learned since becoming a grandmother.",Arts
"Nonfiction: Cash, Jewels and Gold: The Tale of Britain’s Biggest Heist. Safety deposit boxes at the Hatton Garden Safe Deposit, in Hatton Garden, London in 2016.In “The Last Job,” Dan Bilefsky explores a famous London robbery that was masterminded by a 76-year-old pensioner.",Arts
Nonfiction: Dismantling the Myth of ‘The Heartland’. The new book by the historian Kristin L. Hoganson explodes conventional ideas about the Midwest as America’s “insulated core” — the wellspring of its values and identity.,Arts
"Michael Jackson Musical Creators: ‘We’re Not Judge and Jury’. A billboard for the planned Michael Jackson musical is already up on 44th Street in New York’s theater district.The playwright Lynn Nottage and the director-choreographer Christopher Wheeldon remain committed to the show, even after a damning documentary.",Arts
"SummerStage Will Have a New Feel This Season. A rendering of the City Parks Foundation’s SummerStage venue in Central Park, which has undergone a renovation ahead of the 2019 summer season.A $5.5 million renovation will be unveiled at the SummerStage festival, which will also have gender equity in its programming.",Arts
"Brothers Sue Jussie Smollett’s Lawyers, Saying Actor ‘Directed’ Staged Attack. Lawyers for Abimbola Osundairo, left, and Olabinjo Osundairo framed the lawsuit as a way of restoring their reputations.The brothers have struggled to find work since the episode involving Jussie Smollett, their lawyers say, and “deserve to have their reputations restored.”",Arts
"Poetry: In ‘Swift,’ David Baker’s Poetry Stitches the Fractured World Into Art. For almost 40 years, in the extreme suburbs and the diminishing countryside, Baker has worked to see and describe things as though for the first time.",Arts
Critic’s Pick: ‘Carmine Street Guitars’ Review: A Portrait of an Ax Meister. The Greenwich Village guitar shop at the heart of Ron Mann’s documentary is one the last redoubts of a fast-disappearing bohemian Manhattan.,Arts
"Ask a Showrunner: ‘Cobra Kai,’ YouTube’s ‘Karate Kid’ Update, Returns for Another Round. OrderedDict([('br', [None, None]), ('#text', 'In “Cobra Kai,” William Zabka’s Johnny Lawrence, center, heads up a new version of the titular dojo. With Jacob Bertrand, left, and Xolo Maridueña.')])The creators of “Cobra Kai,” which begins its second season on Wednesday, discuss the show and giving Johnny Lawrence the “Better Call Saul” treatment.",Arts
"How Lizzo Made a Song as Joyous as She Is. Watch how a flute-playing, twerking, social-media-dominating rapper and singer built a party song that packs all of her joy and charm into three danceable minutes.",Arts
"Lens: New York’s Photoville Is Coming to Los Angeles. Liana is singing a Spanish song that she has learned during her music courses in Spain. Bushehr, Iran. August 2018. From ""#ThisIs18,"" presented by The New York Times.The photography festival’s shipping containers will showcase projects focusing on L.A.’s homegrown talent, immigration and climate change.",Arts
"Best of Late Night: Trevor Noah Likens the Mueller Report to Maroon 5’s Tattooed Frontman. Suranne Jones in an episode of “Gentleman Jack.”“This document was covered in so much ink it looked like Adam Levine’s torso,” Noah joked on Monday. “Like one of the pages had nipples.”",Arts
What’s on TV Tuesday: ‘I Think You Should Leave’ and ‘1969’. Tim Robinson’s comedy show hits Netflix. And a documentary series recounts events that made 1969 so tumultuous.,Arts
"Review: Love Bites, Hard, in ‘The Pain of My Belligerence’. Bad romance: Halley Feiffer, as a magazine writer, and Hamish Linklater, as a restaurant owner, in Ms. Feiffer’s “The Pain of My Belligerence” at Playwrights Horizons.Halley Feiffer stars opposite Hamish Linklater in her new comedy of anguish, which begins with a memorably chilling first date.",Arts
Newsbook: 3 Books Explore Sri Lanka’s Past (Violent and Otherwise). Read about the country’s decades long civil war and its toll on the Sri Lankan people.,Arts
"‘Game of Thrones’: Who Is the Mad King, and Why Did Jaime Kill Him?. OrderedDict([('br', [None, None]), ('#text', 'Nikolaj Coster-Waldau as Jaime Lannister, widely known (and reviled) as the Kingslayer, in a scene from “Game of Thrones.”')])There’s more to the story than Jaime’s one murderous act. Call it a cautionary tale for any quick-to-burn Targaryen with a Lannister for a hand.",Arts
"Kanye West Performs New Song During ‘Sunday Service’ at Coachella. Kanye West was joined by dozens of others in his performance of a new song, “Water,” on Easter Sunday at the Coachella Valley Music and Arts Festival.",Arts
"Tiny Neighborhoods Sprout at the National Building Museum. A collector, David Weingarten, is donating 3,069 shrunken landmarks to the museum.",Arts
"Nonfiction: Two Early Presidents Who Questioned the Wisdom of ‘the People’. In “The Problem of Democracy,” Nancy Isenberg and Andrew Burstein show that John and John Quincy Adams were skeptical of popular democracy.",Arts
"Nonfiction: Pico Iyer Reflects on a Quarter-Century of Life in Japan. In “Autumn Light: Season of Fire and Farewells,” the noted journalist finds wisdom in the rituals and routines he shares with his Japanese wife.",Arts
"BTS Lands a Third No. 1 on the Album Chart in Less Than a Year. The K-pop boy band BTS reached No. 1 again, matching a feat achieved by the Beatles.The K-pop boy band reached the top of the Billboard 200 again with “Map of the Soul: Persona,” selling 196,000 full albums in addition to its 37 million streams.",Arts
"Books of The Times: In Ian McEwan’s Latest, a Ménage à Trois — Software Included. “Machines Like Me” imagines the relationship between a man, woman and lifelike robot in an alternative 1980s England.",Arts
"On YouTube, ‘Game of Thrones’ Superfans Prepare for the End. Lena Headey as Cersei Lannister in “Game of Thrones.”The HBO fantasy epic has inspired a universe of video commentators and dissectors online. Like other fans, they’re girding themselves for the end of their obsession.",Arts
Chasing Rembrandt’s Tulips on Two Wheels. The Keukenhof garden's annual exhibit of bulbs drew almost 1.5 million visitors last year.On a bike you can immerse yourself in the sights and smells of a world of blooms in the gardens and fields near the Dutch city of Leiden.,Arts
What’s on TV Monday: ‘Gentleman Jack’ and ‘Charm City’. A new series tells the true story of a woman who defied norms in 19th-century England. And a documentary about Baltimore airs on PBS.,Arts
"Live Review: At Coachella, the Gospel According to Kanye West. Kanye West performed atop a miniature mountain made specifically for his set at the Coachella Valley Music and Arts Festival on Easter Sunday.After a few of his most difficult years and a brief retreat from the spotlight, the rapper returned with Sunday Service — a performance of spiritual music where he rarely took center stage.",Arts
"‘Game of Thrones’: Florence and the Machine’s Frontwoman on That Haunting Closing Song. Florence Welch of Florence + the Machine during a performance in 2018.Florence Welch spoke about her feelings toward the song, and about the time she turned down a similar chance back before she was a “Thrones” fan.",Arts
"Billions: ‘Billions’ Season 4, Episode 6: Beat or Be Beaten. Paul Giamatti in a scene from “Billions.”On this show it often pays to be paranoid. The trouble is knowing which thing to be most paranoid about.",Arts
"Critic’s Pick: Review: Taylor Mac’s ‘Gary’ Finds Hope and Humor on a Pile of Corpses. Nathan Lane as the title character in Taylor Mac’s new play, “Gary: A Sequel to Titus Andronicus,” on Broadway.This comedic sequel to “Titus Andronicus” finds Nathan Lane and Kristine Nielsen cleaning up after a Shakespearean blood bath.",Arts
"‘Curse of La Llorona’ Is No. 1 as Box Office Braces for More ‘Avengers’. Roman Christou and Linda Cardellini in “The Curse of La Llorona,” which earned $26.5 million this weekend and beat analysts’ expectations.Fox’s faith-based “Breakthrough,” with Chrissy Metz as a mother who prays for her son’s seemingly impossible medical recovery, came in third.",Arts
"Critic’s Pick: Review: In ‘The Appointment,’ the Fetus Sings Out. From left, Jaime Maseda, Scott R. Sheppard, Katie Gould and Brenson Thomas as singing fetuses in the new musical “The Appointment.”This uncanny, phantasmagorical work from the Lightning Rod Special troupe is a musical cabaret about abortion. That’s right.",Arts
"5 Things About Your Book: An Undocumented Woman Struggles to Root Her Family in New York City. Melissa Rivero’s debut novel, “The Affairs of the Falcóns,” features a family that, like hers did, emigrates to New York from Peru.",Arts
"Michael Jackson Biographers Face History, and the Mirror. “Leaving Neverland” has several Michael Jackson biographers revising their books.After child molestation accusations of “Leaving Neverland,” books about the pop icon are already being rewritten. Who will have the last word?",Arts
"Critic’s Pick: Review: ‘Gentleman Jack’ Finds a Swaggering Woman in Want of a Wife. Suranne Jones in an episode of “Gentleman Jack.”Suranne Jones is a force of nature in a rollicking HBO period piece, created by Sally Wainwright.",Arts
"Nonfiction: That Man From Stratford. The actor David Garrick, against a bust of Shakespeare.“What Blest Genius?,” by Andrew McConnell Stott, and “Shakespeare’s Library,” by Stuart Kells, explore different facets of the history and mysteries of the playwright’s reputation.",Arts
"Nonfiction: A Former Marine Looks Back on Her Life in a Male-Dominated Military. Anuradha Bhagwati, 2011.Anuradha Bhagwati’s forceful memoir, “Unbecoming,” tackles sexual harassment, discrimination and the possibilities for redress for American servicewomen.",Arts
"The Week in Books. Robert A. Caro at his electric typewriter in 2001; Abby Wambach; an illustration by Mikel Jaso.Robert Caro, Abby Wambach, the Mueller report and more.",Arts
"What’s on TV Sunday: ‘Motown 60’ and ‘Book Club’. Smokey Robinson, left, and Cedric the Entertainer host “Motown 60.”CBS airs a concert celebrating Motown Records. And catch “Book Club,” with Jane Fonda, Candice Bergen, Diane Keaton and Mary Steenburgen, on Hulu.",Arts
"Jayne Wrightsman, Arts Benefactor and Doyenne of High Society, Dies at 99. Jayne Wrightsman, wearing a satin gown by Givenchy, on a Louis XV cut-velvet sofa in 1966. She died on Saturday at the age of 99.Mrs. Wrightsman, who had no formal training, became a connoisseur of 18th-century French art and a significant donor to the Metropolitan Museum of Art.",Arts
"Books of The Times: The Mueller Report: A Thorny, Patriotic Addition to a Curious American Bookshelf. Redacted pages from the Mueller report.Much of what’s in the report was already known, but our book critic says it still has “the power to shock and appall.”",Arts
That Decisive Moment: Our Favorite Piano: The Week in Classical Music. The pianist Mitsuko Uchida at Carnegie Hall in 2016. Ms. Uchida announced she would be postponing her April 30 Carnegie recital because of exhaustion; she is still scheduled to play at the hall on May 4.Efforts to convince friends to love the piano and George Crumb were among the highlights.,Arts
Nonfiction: ‘When Brooklyn Was Queer’ Evokes the Borough’s Hidden History. Hugh Ryan’s new account delves into colorful characters who frequented the area around the Brooklyn Navy Yard — a flourishing center of 19th-century queer life.,Arts
11 of Our Best Weekend Reads. The soul of France. Disappearing glaciers. The most chaotic place on the internet. Bauhaus at 100. And more.,Arts
"Nonfiction: A Young Poet, a Mysterious Stranger and an El Salvador on the Brink of War. Carolyn Forché’s “What You Have Heard Is True” recalls her 1970s journey in the company of a revolutionary who wants her to bear witness to his country’s terror and bloodshed.",Arts
"carry on: What Andrew Bolton Can’t Travel Without. The curator oversees the fashion exhibits that influence the annual Met Gala. He often travels internationally for research, and always carries a Moleskine notebook to jot down ideas.",Arts
"The Week in Arts: ‘Gentleman Jack,’ Bad Bunny and a Musical About Psychoanalysis. From left, Tiler Peck and Tyler Angle in “Herman Schmerman.”“Lady in the Dark,” a Weill-Gershwin-Hart theatrical collaboration from 1941, is revived at City Center by MasterVoices.",Arts
"Nonfiction: Why Did We Fight the Iraq War?. President George W. Bush with Condoleezza Rice, Dick Cheney, Donald Rumsfeld and Gen. Richard Myers in 2003.Michael J. Mazarr’s “Leap of Faith” argues that the tragedy was the result of a missionary impulse and wishful thinking.",Arts
"Warren Adler, ‘The War of the Roses’ Author, Is Dead at 91. Warren Adler in 1991. He found a niche writing about dysfunctional relationships, like that of Jonathan and Barbara Rose, the couple immersed in a domestic free-for-all in “The War of the Roses” (1981).A late-blooming novelist, he had his greatest success with a comedy about a couple in a domestic free-for-all. It became a hit movie.",Arts
"Podcast Review: Michael Lewis Enters the Podcasting Game With ‘Against the Rules’. Lewis’s seven-part series examines our relationship to authority and to regulation — our mistrust of them and, in some cases, our full-throated hostility toward them.",Arts
What They Left Behind: Legacies of the Recently Departed. Mr. Westcott was the only person authorized to carry a camera at the Oak Ridge facilities.Some gems from the life’s work of people remembered in obituaries in The New York Times.,Arts
City Ballet Ordered to Reinstate Male Dancers Fired Over Inappropriate Texts. Amar Ramasar with Sara Mearns in the premiere of Justin Peck’s “Rodeo” in 2015. Mr. Ramasar will return to the company as a principal after receiving mandatory counseling.An arbitrator ruled that City Ballet overstepped by firing Zachary Catazaro and Amar Ramasar. Mr. Ramasar will return; Mr. Catazaro has decided not to.,Arts
Popcast: Is Billie Eilish the Future of Pop?. The 17-year-old musician has been revising the rules of young stardom. But she may be more of a classicist than her aesthetic would suggest.,Arts
